Film,Year,Actor,Director,Box Office,Budget,Bond Actor Salary,file
Dr. No,1962,Sean Connery,Terence Young,448.8,7,0.6                              ,1962-dr-no.pkl
From Russia with Love,1963,Sean Connery,Terence Young,543.8,12.6,1.6            ,1963-with-love-from-russia.pkl
Goldfinger,1964,Sean Connery,Guy Hamilton,820.4,18.6,3.2                        ,1964-goldfinger.pkl
Thunderball,1965,Sean Connery,Terence Young,848.1,41.9,4.7                      ,1965-thunderball.pkl
You Only Live Twice,1967,Sean Connery,Lewis Gilbert,514.2,59.9,4.4              ,1967-you-only-live-twice.pkl
On Her Majesty's Secret Service,1969,George Lazenby,Peter R. Hunt,291.5,37.3,0.6,1969-on-her-majesties-secret-service.pkl
Diamonds Are Forever,1971,Sean Connery,Guy Hamilton,442.5,34.7,5.8              ,1971-diamonds-are-forever.pkl
Live and Let Die,1973,Roger Moore,Guy Hamilton,460.3,30.8,                      ,1973-live-and-let-die.pkl
The Man with the Golden Gun,1974,Roger Moore,Guy Hamilton,334,27.7,             ,1974-the-man-with-the-golden-gun.pkl
The Spy Who Loved Me,1977,Roger Moore,Lewis Gilbert,533,45.1,                   ,1977-the-spy-that-loved-me.pkl
Moonraker,1979,Roger Moore,Lewis Gilbert,535,91.5,                              ,1979-moonraker.pkl
For Your Eyes Only,1981,Roger Moore,John Glen,449.4,60.2,                       ,1981-for-your-eyes-only.pkl
Octopussy,1983,Roger Moore,John Glen,373.8,53.9,7.8                             ,1983-octopussy.pkl
A View to a Kill,1985,Roger Moore,John Glen,275.2,54.5,9.1                      ,1985-a-view-to-a-kill.pkl
The Living Daylights,1987,Timothy Dalton,John Glen,313.5,68.8,5.2               ,1987-the-living-daylights.pkl
Licence to Kill,1989,Timothy Dalton,John Glen,250.9,56.7,7.9                    ,1989-license-to-kill.pkl
GoldenEye,1995,Pierce Brosnan,Martin Campbell,518.5,76.9,5.1                    ,1995-goldeneye.pkl
Tomorrow Never Dies,1997,Pierce Brosnan,Roger Spottiswoode,463.2,133.9,10       ,1997-tomorrow-never-dies.pkl
The World Is Not Enough,1999,Pierce Brosnan,Michael Apted,439.5,158.3,13.5      ,1999-the-world-is-not-enough.pkl
Die Another Day,2002,Pierce Brosnan,Lee Tamahori,465.4,154.2,17.9               ,2002-die-another-day.pkl
Casino Royale,2006,Daniel Craig,Martin Campbell,581.5,145.3,3.3                 ,2006-casino-royale.pkl
Quantum of Solace,2008,Daniel Craig,Marc Forster,514.2,181.4,8.1                ,2008-a-quantum-solace.pkl
